ID,Date,Time,State,Intensity,Injuries,Fatalities
38F2RH24,1/3/1950,10:50:00,MO,2,1,0
BC2851D5,1/3/1950,11:00:00,MO,3,3,0
3BA58D81,1/3/1950,11:55:00,IL,3,3,0
065476FF,1/3/1950,16:00:00,OH,1,1,0
06001357,1/13/1950,5:25:00,AR,3,1,1
F8173EB5,1/25/1950,19:30:00,MO,2,5,0
732F3F6E,1/25/1950,21:00:00,IL,2,0,0
5F3945BC,1/26/1950,18:00:00,TX,2,2,0
B9135BF3,2/11/1950,13:10:00,TX,2,0,0
FEECB408,2/11/1950,13:50:00,TX,3,12,1
ADD09BD5,2/11/1950,21:00:00,TX,2,5,0
76879E20,2/11/1950,23:55:00,TX,2,6,0
C164A963,2/12/1950,0:30:00,TX,2,8,1
D2F65F2F,2/12/1950,1:15:00,TX,1,0,0
A4C138E6,2/12/1950,6:10:00,TX,2,0,0
B5DCCFC5,2/12/1950,11:57:00,TX,1,32,0
21F09304,2/12/1950,12:00:00,MS,2,2,3
B5766331,2/12/1950,12:00:00,MS,1,0,0
27A44A57,2/12/1950,12:00:00,TX,3,15,3
30B27F39,2/12/1950,12:30:00,AR,2,0,0
D3DD8F37,2/12/1950,13:00:00,LA,4,77,18
7D0BA9F1,2/12/1950,13:20:00,LA,2,10,5
1061D6C5,2/12/1950,14:00:00,LA,3,25,5
146D59D0,2/12/1950,15:00:00,AR,2,0,0
BFA5CCAD,2/12/1950,23:00:00,LA,1,0,0
5A6580BB,2/13/1950,1:00:00,TN,1,8,0
6503B8C9,2/13/1950,2:00:00,TN,2,1,9
1E1C208D,2/27/1950,10:20:00,OK,2,0,0
EEB1DDF6,3/1/1950,2:30:00,MS,1,0,0
2B5C87B4,3/16/1950,9:15:00,FL,2,0,0
D640715D,3/19/1950,7:30:00,LA,1,2,0
DDA0FB04,3/19/1950,13:15:00,LA,2,0,0
24AE337E,3/19/1950,13:15:00,LA,0,0,0
A5CAF01A,3/26/1950,19:30:00,AR,2,3,0
349DCAD3,3/26/1950,19:31:00,AR,3,1,0
0B3F1F29,3/26/1950,20:30:00,AR,2,7,0
EF256611,3/26/1950,21:15:00,AR,3,20,0
B4BE0AB1,3/26/1950,23:30:00,AR,2,2,0
09554B0E,3/27/1950,3:00:00,OK,2,0,0
19C6C805,3/27/1950,5:00:00,MS,2,2,1
C129519C,3/27/1950,6:00:00,LA,1,2,0
5BDB2621,3/27/1950,7:30:00,MS,2,0,0
3B64764B,3/27/1950,7:45:00,MS,2,7,0
7CD97C12,3/27/1950,7:45:00,MS,2,6,0
E014FF7F,3/27/1950,8:30:00,LA,1,0,0
5611BDDC,3/27/1950,8:45:00,MS,2,0,0
8C72E1E4,3/27/1950,11:00:00,MS,1,2,0
D000A31B,3/27/1950,15:00:00,TN,1,0,0
BDB160A0,3/27/1950,16:30:00,IL,2,0,0
6DF4F843,4/2/1950,15:30:00,AR,3,8,1
C4781564,4/2/1950,18:00:00,OK,2,0,0
28906DD4,4/2/1950,18:00:00,AR,1,0,0
DB46D8F2,4/3/1950,16:15:00,OK,1,0,0
3F5675E1,4/18/1950,1:30:00,AL,3,15,0
964B3EC9,4/18/1950,1:45:00,AL,2,0,0
61910B59,4/24/1950,7:45:00,LA,1,0,0
786598EC,4/27/1950,16:00:00,SC,1,0,0
AAFC6E6A,4/28/1950,14:17:00,OK,3,1,1
A286B47F,4/28/1950,17:00:00,KS,1,0,0
1E283063,4/28/1950,18:00:00,TX,4,5,5
1F6EC897,4/28/1950,19:05:00,OK,4,32,5
C68D209F,4/28/1950,19:30:00,OK,2,0,0
816946D1,4/29/1950,12:00:00,MS,2,0,0
943CED5B,4/29/1950,15:30:00,TX,1,0,0
9928827A,5/1/1950,1:00:00,LA,1,0,0
7C099042,5/1/1950,5:00:00,MS,1,0,0
679F63CB,5/1/1950,9:00:00,MS,1,0,0
EE4FD52E,5/1/1950,10:30:00,LA,1,0,0
EFE69C7D,5/1/1950,11:25:00,LA,2,7,0
5D7194CA,5/1/1950,11:30:00,LA,1,2,0
CD1E0957,5/1/1950,11:30:00,LA,0,0,0
38C1732D,5/2/1950,2:00:00,LA,1,1,0
F2124424,5/2/1950,3:00:00,LA,2,5,1
6A6B3790,5/4/1950,20:00:00,KS,1,0,0
7879873D,5/4/1950,20:30:00,TX,2,13,1
5C011278,5/4/1950,21:00:00,IA,1,0,0
131A684B,5/4/1950,21:30:00,OK,2,0,0
A70762FF,5/4/1950,21:30:00,OK,1,0,0
746211C4,5/4/1950,21:45:00,OK,2,0,0
9A5DD383,5/4/1950,23:10:00,KS,4,1,0
A116F440,5/5/1950,3:30:00,KS,3,12,0
6BFDDF40,5/7/1950,18:30:00,OK,1,0,0
C03024FB,5/7/1950,23:00:00,OK,2,3,0
657413C2,5/7/1950,23:00:00,OK,1,0,0
04A8D8CE,5/8/1950,4:30:00,SD,1,0,0
49FAA41E,5/8/1950,13:00:00,FL,1,0,0
FFAAB613,5/8/1950,18:30:00,KS,2,0,0
247122C8,5/8/1950,19:00:00,KS,2,1,0
27E0E8A6,5/8/1950,19:20:00,IA,2,0,0
32D673AD,5/8/1950,19:30:00,KS,2,2,0
097136EB,5/8/1950,21:17:00,KS,1,1,0
B1A74A61,5/8/1950,21:30:00,KS,1,0,0
30378116,5/8/1950,22:10:00,NE,2,1,0
5CD4CB57,5/9/1950,0:01:00,KS,1,0,0
F6B3678D,5/9/1950,20:20:00,OK,1,0,0
EB2C22C0,5/10/1950,13:00:00,WY,2,0,0
6EDF0624,5/11/1950,18:30:00,OK,1,0,0
FD4121F3,5/12/1950,14:00:00,NC,1,0,0
4220FA3E,5/12/1950,17:00:00,NC,1,0,0
AF7B3C3F,5/12/1950,17:00:00,NC,0,0,0
C9FB2B54,5/13/1950,11:30:00,LA,1,0,0
890574D1,5/14/1950,16:00:00,TX,1,0,0
973B03BD,5/14/1950,17:00:00,NC,1,0,0
04571222,5/14/1950,17:30:00,NC,2,5,0
E887105E,5/15/1950,0:01:00,TX,2,0,0
